AAPL,AAPL,AAPL,AAPL,AAPL,GILD,GILD,GILD,GILD,GILD,JNJ,JNJ,JNJ,JNJ,JNJ,MSFT,MSFT,MSFT,MSFT,MSFT,REGN,REGN,REGN,REGN,REGN,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
117.65,118.69,116.2,116.34,54033397.0,75.14,75.28,73.56,73.82,10007925.0,119.41,119.63,117.06,117.67,4769616.0,57.89,58.02,56.89,57.18,21407214.0,391.51,394.6917,382.18,386.04,548775.0,201.85,202.2,198.31,200.06,1935879.0
117.35,117.98,116.75,117.35,33616928.0,74.18,74.205,72.92,73.03,8423201.0,117.79,118.43,117.5,117.98,3732254.0,57.12,57.27,56.4,57.11,19737326.0,387.54,388.8,372.02,373.47,574475.0,200.95,203.88,200.42,201.5,1623741.0
116.79,117.44,115.72,116.99,31618670.0,72.29,73.93,72.21,73.06,8818514.0,117.54,118.62,117.28,118.28,5382427.0,56.67,57.3,56.315,56.92,20825613.0,369.61,379.96,369.0183,375.9,345569.0,200.5,200.895,197.05,200.215,1812418.0
117.88,118.17,117.13,117.63,29203895.0,73.27,73.5,72.73,72.73,6005314.0,118.5,118.8,117.56,117.58,3989388.0,57.12,57.74,57.12,57.43,23125614.0,378.4,379.1,370.66,371.55,418082.0,200.66,201.43,196.3,196.51,3144844.0
117.33,117.84,116.78,117.55,19816218.0,72.57,73.46,72.31,72.64,6702862.0,117.5,118.55,117.5,118.48,4869673.0,57.36,57.46,56.87,57.21,18286375.0,367.8,371.5,364.5,366.87,322146.0,197.05,198.39,192.0,194.08,3265028.0
118.18,118.21,117.45,117.45,19457641.0,73.4,73.83,72.91,73.41,5165033.0,117.38,118.48,115.16,115.39,10634484.0,57.53,57.945,57.41,57.65,15950520.0,366.42,372.85,366.07,371.59,274395.0,195.99,199.47,193.26,199.1,4446415.0
117.25,117.76,113.8,117.12,17159909.0,73.5,73.92,73.31,73.33,4852249.0,115.57,115.89,114.46,114.61,5851147.0,57.47,57.84,57.395,57.56,17329160.0,372.62,374.58,368.07,368.27,248312.0,199.74,206.66,198.06,203.66,5548344.0
116.86,117.38,116.33,117.01,21097370.0,73.14,74.81,73.1,74.31,8856252.0,114.83,115.7,114.59,114.86,5256383.0,57.5,57.52,56.66,57.24,37793462.0,368.92,373.96,368.3,371.35,225236.0,202.12,203.0,197.05,199.12,4164688.0
116.81,116.91,116.28,116.53,19018844.0,74.11,74.94,73.775,74.29,6776077.0,114.11,114.24,112.99,113.48,6573984.0,60.3,60.45,59.485,59.68,68080734.0,370.36,371.25,361.67,363.41,352864.0,198.6,201.57,197.41,200.09,2189476.0
117.1,117.74,117.0,117.61,19189694.0,74.51,74.78,73.74,74.14,5846095.0,113.93,114.1897,113.44,113.55,4816152.0,59.94,61.0,59.93,60.99,44808082.0,364.51,367.12,358.76,362.14,349026.0,201.0,203.9452,200.25,202.76,2269753.0
