,Out-of-Sample Predictions
2020-01-02,160.62322074786178
2020-01-03,160.62365484588605
2020-01-06,160.62912568977336
2020-01-07,160.63194989948664
2020-01-08,160.63683415012002
2020-01-09,160.63730955981336
2020-01-10,160.63838972882525
2020-01-13,160.64230277834358
2020-01-14,160.6432180240201
2020-01-15,160.64756617896668
2020-01-16,160.64948034781892
2020-01-17,160.6492615109423
2020-01-21,160.65167695802793
2020-01-22,160.65555631788195
2020-01-23,160.65962923265377
2020-01-24,160.66195575828502
2020-01-27,160.66686494257124
2020-01-28,160.67271516383403
2020-01-29,160.6734240062102
2020-01-30,160.67469953074476
2020-01-31,160.67418921336966
2020-02-03,160.6795713478479
2020-02-04,160.6799465673055
2020-02-05,160.67922948648686
2020-02-06,160.68287988960492
2020-02-07,160.6837214591086
2020-02-10,160.6873963336505
2020-02-11,160.68837569375583
2020-02-12,160.6946646136303
2020-02-13,160.69833450848475
2020-02-14,160.7027538895408
2020-02-18,160.70529136843848
2020-02-19,160.70766327771923
2020-02-20,160.71138042065556
2020-02-21,160.71721416976752
2020-02-24,160.72400103050538
2020-02-25,160.73203182649863
2020-02-26,160.7371855117184
2020-02-27,160.73920409976384
2020-02-28,160.75019220260802
2020-03-02,160.75060177600966
2020-03-03,160.746825688431
2020-03-04,160.75436829931036
2020-03-05,160.75354150697294
2020-03-06,160.7588272964972
2020-03-09,160.76702433723946
2020-03-10,160.78295095049637
2020-03-11,160.7722376189255
2020-03-12,160.78376828103302
2020-03-13,160.80499249475952
2020-03-16,160.74368727928731
2020-03-17,160.81258115650755
2020-03-18,160.77818314902862
2020-03-19,160.7997449673518
2020-03-20,160.7949789400985
2020-03-23,160.82567353346894
2020-03-24,160.83545536585416
2020-03-25,160.76873758619308
2020-03-26,160.7782112694458
2020-03-27,160.73300624530813
2020-03-30,160.76632216969202
2020-03-31,160.71717184940934
2020-04-01,160.73173531009618
2020-04-02,160.76094114941966
2020-04-03,160.74853497840027
2020-04-06,160.75844264996186
2020-04-07,160.70606892715745
2020-04-08,160.71713603027317
2020-04-09,160.71270674897156
2020-04-13,160.7162037729337
2020-04-14,160.7180941957481
2020-04-15,160.685165284915
2020-04-16,160.69642721433215
2020-04-17,160.6778452033431
2020-04-20,160.6751307511018
2020-04-21,160.69343507086776
2020-04-22,160.72755292519304
2020-04-23,160.70636677978652
2020-04-24,160.71900750752044
2020-04-27,160.709255129619
2020-04-28,160.71499485714952
2020-04-29,160.73650008464023
2020-04-30,160.7072251257669
2020-05-01,160.70350690462192
2020-05-04,160.72641042559198
2020-05-05,160.71234149189104
2020-05-06,160.7083513325169
2020-05-07,160.70501370114704
2020-05-08,160.70464279286213
2020-05-11,160.7045302059981
2020-05-12,160.70055357514696
2020-05-13,160.7213539196093
2020-05-14,160.7366379144532
2020-05-15,160.7376564312576
2020-05-18,160.73128040563265
2020-05-19,160.72856151306257
2020-05-20,160.7378601853045
2020-05-21,160.7340468206725
2020-05-22,160.74705759501268
2020-05-26,160.7511747734731
2020-05-27,160.7633071994668
2020-05-28,160.76677985742833
2020-05-29,160.77285731459196
2020-06-01,160.76920538132214
2020-06-02,160.77491244305082
2020-06-03,160.77037759648016
2020-06-04,160.77254386328562
2020-06-05,160.78639718886166
2020-06-08,160.77269174526646
2020-06-09,160.77201155468762
2020-06-10,160.7702347609878
2020-06-11,160.74616294418126
2020-06-12,160.79082445548107
2020-06-15,160.7886369665261
2020-06-16,160.78758373634778
2020-06-17,160.77283372830794
2020-06-18,160.77399638983354
2020-06-19,160.769679451138
2020-06-22,160.77857817758226
2020-06-23,160.7620089881906
2020-06-24,160.76136465701728
2020-06-25,160.78098108813654
2020-06-26,160.77584022335589
2020-06-29,160.79524416122248
2020-06-30,160.79138550989532
2020-07-01,160.7763330206583
2020-07-02,160.7761799293931
2020-07-06,160.77502155276696
2020-07-07,160.76343141904218
