Date,MSFT_actual,MSFT_lstm,MSFT_regression
2020-01-02,157.69999999999996,161.18456,161.0231293685592
2020-01-03,160.62,160.71156,160.0884903896599
2020-01-06,158.61999999999998,162.52997,161.47256797608657
2020-01-07,159.02999999999997,162.20964,161.7356768722669
2020-01-08,157.58,162.0811,162.88238656275075
2020-01-09,160.09,161.00555,162.1336334535018
2020-01-10,162.09,162.15489,161.64822708505474
2020-01-13,161.34,164.2842,162.4555935755563
2020-01-14,163.27999999999997,164.77487,162.00475089538733
2020-01-15,162.13,166.01723,162.99653693185644
2020-01-16,163.17999999999998,165.71593,162.9661556888803
2020-01-17,166.16999999999996,166.02356,162.03490312016558
2020-01-21,167.1,168.19008,162.07120625205016
2020-01-22,166.5,169.90314,162.8023082274253
2020-01-23,165.69999999999996,170.05501,163.62894149940078
2020-01-24,166.72,169.23279,163.6229192951652
2020-01-27,165.03999999999996,169.35535,164.85622802096742
2020-01-28,162.28,168.34088,166.61010585877796
2020-01-29,165.46,165.9098,165.55910769095686
2020-01-30,168.04,166.94293,164.82397003166852
2020-01-31,172.77999999999997,169.65405,163.12191120441875
2020-02-03,170.22999999999996,174.28723,164.70780489644818
2020-02-04,174.37999999999997,174.6135,163.30120734772984
2020-02-05,180.11999999999998,176.80145,161.25604987733115
2020-02-06,179.89999999999998,181.58305,161.80520138891166
2020-02-07,183.63,183.52254,160.6985949055715
2020-02-10,183.88999999999996,186.20204,161.04809204672145
2020-02-11,188.70000000000002,187.24669,159.5391242293461
2020-02-12,184.44,190.45316,161.67209849462483
2020-02-13,184.70999999999998,188.9165,162.02009181722698
2020-02-14,183.70999999999998,187.63675,162.88880092264455
2020-02-18,185.35,186.34317,162.6721613773049
2020-02-19,187.23,186.95198,162.36351992215484
2020-02-20,187.28,188.80434,162.8036754679277
2020-02-21,184.41999999999996,189.80106,164.4254156078525
2020-02-24,178.59,188.10153,167.31707413841227
2020-02-25,170.88999999999996,183.00055,171.15764710036186
2020-02-26,168.07,175.24393,172.9608846211298
2020-02-27,170.16999999999996,170.04248,172.44291593735002
2020-02-28,158.17999999999998,170.1293,178.6013190793138
2020-03-02,162.00999999999996,163.1998,177.08989392566696
2020-03-03,172.79,162.52693,172.09373214831925
2020-03-04,164.51,170.71582,176.42970981755593
2020-03-05,170.54999999999998,169.88794,173.90742501671357
2020-03-06,166.26999999999998,172.53102,176.4369707795549
2020-03-09,161.57,170.88435,179.26445394882325
2020-03-10,150.62,166.32033,185.44175642979542
