Date,MSFT_actual,MSFT_lstm,MSFT_regression
2020-03-11,160.91999999999996,156.52643,180.05032737344155
2020-03-12,153.63,159.06924,184.366874270792
2020-03-13,139.06,157.05365,193.04842250985104
2020-03-16,158.83,146.1405,180.78936300117502
2020-03-17,135.41999999999996,154.31606,193.73568650625296
2020-03-18,146.56999999999996,144.28026,186.841827097562
2020-03-19,140.39999999999998,146.03036,191.0416775886064
2020-03-20,142.71,143.9995,190.1167171784745
2020-03-23,137.34999999999997,144.65106,193.98767678363222
2020-03-24,135.98,141.69438,195.44060393470585
2020-03-25,148.34,139.24509,187.70550940397314
2020-03-26,146.92,146.84734,189.0761823336229
2020-03-27,156.10999999999999,150.34642,184.09370534918415
2020-03-30,149.7,157.60516,188.14286422916678
2020-03-31,160.23,156.29959,182.50112837838876
2020-04-01,157.70999999999998,161.51764,184.3579250710098
2020-04-02,152.10999999999999,162.31018,187.9352399590674
2020-04-03,155.26,158.00528,186.65212292840584
2020-04-06,153.83,157.49611,187.98355404100715
2020-04-07,165.26999999999998,156.71402,181.9933524320658
2020-04-08,163.49,164.29387,183.42401918127297
2020-04-09,165.12999999999997,167.28087,183.08557167757274
2020-04-13,165.14,168.93672,183.5995439450073
2020-04-14,165.50999999999996,169.08928,183.92820102821548
2020-04-15,173.7,168.92297,180.20289295298326
2020-04-16,171.88,174.21236,181.59489656572467
2020-04-17,177.04,175.72105,179.56599633785638
2020-04-20,178.59999999999997,179.19917,179.3368577122718
2020-04-21,175.06,181.65022,181.50400421058475
2020-04-22,167.82,179.84122,185.52131014339633
2020-04-23,173.52,173.34889,183.10711986863103
2020-04-24,171.41999999999996,173.87622,184.6603569636853
2020-04-27,174.54999999999998,173.71498,183.61065647798478
2020-04-28,174.04999999999998,175.93604,184.37670908589988
2020-04-29,169.81,176.89876,186.99534629454448
2020-04-30,177.43,174.2279,183.610136842248
2020-05-01,179.20999999999998,177.78189,183.2712661763922
2020-05-04,174.56999999999996,181.22655,186.00509523543815
2020-05-05,178.84,179.42719,184.40956173806538
2020-05-06,180.76,180.72928,184.00866114900734
2020-05-07,182.53999999999996,182.82314,183.6849233018756
2020-05-08,183.59999999999997,184.93301,183.7080549070767
2020-05-11,184.67999999999998,186.39212,183.7247255148863
2020-05-12,186.74,187.4602,183.28942979387605
2020-05-13,182.51,189.06465,185.74646162495623
2020-05-14,179.75,186.76057,187.58384614076303
2020-05-15,180.53,183.30295,187.73592559813432
2020-05-18,183.15999999999997,182.25557,186.99207746626024
2020-05-19,184.91,184.07771,186.68864049956298
2020-05-20,183.63,186.56247,187.82101457091164
2020-05-21,185.66,186.84323,187.3847417194415
2020-05-22,183.43,187.95383,188.9662948049304
2020-05-26,183.50999999999996,186.87943,189.4636597678863
2020-05-27,181.57,186.12195,190.9354916711083
2020-05-28,181.80999999999997,184.50133,191.35913233016285
2020-05-29,181.39999999999998,183.93098,192.10309824971353
2020-06-01,183.25,183.64189,191.73364338070198
2020-06-02,182.82999999999998,184.915,192.4823620820844
2020-06-03,184.91,185.4141,192.006354802792
2020-06-04,185.36,186.92812,192.33276092778476
2020-06-05,182.92,187.92935,194.05949574763167
2020-06-08,187.2,186.52802,192.49102802880302
2020-06-09,188.35999999999999,188.45068,192.48027194742076
2020-06-10,189.8,190.41727,192.339433871414
2020-06-11,196.84,192.15771,189.55590190386357
2020-06-12,186.27,197.47572,194.8429961181541
2020-06-15,187.74,192.764,194.67798786235798
2020-06-16,188.94,190.25452,194.64937430641314
2020-06-17,193.57,190.24629,192.97560094844104
2020-06-18,194.24,193.853,193.21111856015116
2020-06-19,196.32000000000002,196.3709,192.7935585382717
2020-06-22,195.15,198.59648,193.8763641022685
2020-06-23,200.57000000000002,198.46933,191.91356265734547
2020-06-24,201.91,201.55238,191.8594629559546
2020-06-25,197.84,203.98502,194.2080753390452
2020-06-26,200.34,201.9546,193.6136382664233
2020-06-29,196.33,202.00345,195.9709384554796
2020-06-30,198.44,199.5036,195.54386518400202
2020-07-01,203.51,199.58833,193.76712811895862
2020-07-02,204.7,203.48416,193.78787373629913
2020-07-06,206.25999999999996,206.46439,193.6482514716914
2020-07-07,210.70000000000002,208.50342,192.25225779776727
