,stock,window size,dropout fraction,epochs,batch size,mse,rmse
0,AMD_close,15,0.15,30,150,5.035142240423433,2.2439122621937413
1,GILD_close,1,0.15,30,10,8.569901764283031,2.927439455271967
2,JNJ_close,50,0.3,30,10,8.307705107781027,2.8823089889498363
3,MSFT_close,25,0.15,30,10,39.741314330702885,6.3040712504462455
4,REGN_close,50,0.1,30,10,225.71549338754937,15.02383084927241
5,TSLA_close,25,0.15,30,10,1128.8254631298212,33.59799790359273
6,AMD_close,15,0.15,50,150,5.177737930403063,2.2754643329226374
7,GILD_close,1,0.15,50,10,7.926859040622804,2.8154678191417504
8,JNJ_close,50,0.3,50,10,14.651963695799575,3.8277883556695733
9,MSFT_close,25,0.15,50,10,56.70448418888785,7.5302379901891445
10,REGN_close,50,0.1,50,10,126.14972341893538,11.23163939142169
11,TSLA_close,25,0.15,50,10,843.5833244220426,29.04450592490846
12,AMD_close,15,0.15,100,150,10.936915850348214,3.3071008225254057
13,GILD_close,1,0.15,100,10,8.238662483747454,2.8703070364940846
14,JNJ_close,50,0.3,100,10,7.261260832065265,2.6946726762382966
15,MSFT_close,25,0.15,100,10,299.52246272512116,17.30671727177402
16,REGN_close,50,0.1,100,10,126.53161402079685,11.24862720605483
17,TSLA_close,25,0.15,100,10,470.85948856018683,21.69929696004428
18,AMD_close,15,0.15,150,150,5.15881408991266,2.271302289417386
19,GILD_close,1,0.15,150,10,8.272259763456335,2.876153640446966
20,JNJ_close,50,0.3,150,10,4.984764168034948,2.2326585426425933
21,MSFT_close,25,0.15,150,10,264.08480472623245,16.25068628477679
22,REGN_close,50,0.1,150,10,136.67557545871074,11.690832966846749
23,TSLA_close,25,0.15,150,10,530.0996370854015,23.023892743960598
