,stock,window size,dropout fraction,epochs,batch size,mse,rmse
0,AMD_close,50,0.1,30,150,29.479905319948706,5.429540065231005
1,GILD_close,1,0.1,30,500,820.4180214153869,28.642940167088064
2,JNJ_close,50,0.1,30,1,27.3604744832086,5.230724087849463
3,MSFT_close,50,0.1,30,50,82.26433380525945,9.069968787446815
4,REGN_close,50,0.15,30,10,748.198813914181,27.353223099192185
5,TSLA_close,50,0.3,30,150,2110.490528010632,45.94007540275301
6,AMD_close,50,0.1,50,150,15.246013106098633,3.90461433512948
7,GILD_close,1,0.1,50,500,449.2350623739015,21.19516601430386
8,JNJ_close,50,0.1,50,1,46.71915180626573,6.835140949992599
9,MSFT_close,50,0.1,50,50,177.4060988654324,13.319388081493548
10,REGN_close,50,0.15,50,10,153.00254907639464,12.369419916729912
11,TSLA_close,50,0.3,50,150,1631.5758991610844,40.39277038234793
12,AMD_close,50,0.1,100,150,20.868319695252392,4.568185602102042
13,GILD_close,1,0.1,100,500,107.32484540567998,10.359770528620794
14,JNJ_close,50,0.1,100,1,36.368068650433386,6.0305943861640525
15,MSFT_close,50,0.1,100,50,95.55063625724334,9.775000575818057
16,REGN_close,50,0.15,100,10,273.3830121059257,16.534298053014698
17,TSLA_close,50,0.3,100,150,1426.665904008284,37.77123116881794
18,AMD_close,50,0.1,150,150,4.0471184659904695,2.0117451294809863
19,GILD_close,1,0.1,150,500,58.78377382042646,7.667057702954013
20,JNJ_close,50,0.1,150,1,22.827553657285886,4.777818922613736
21,MSFT_close,50,0.1,150,50,58.91942070670899,7.675898690492794
22,REGN_close,50,0.15,150,10,262.9792853472075,16.21663606754519
23,TSLA_close,50,0.3,150,150,4354.792957753014,65.99085510699959
