AAPL,AAPL,AAPL,AAPL,AAPL,BRK.B,BRK.B,BRK.B,BRK.B,BRK.B,MSFT,MSFT,MSFT,MSFT,MSFT
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
115.19,116.18,113.25,113.53,41185488.0,145.34,146.19,144.93,145.25,2294654.0,57.27,57.75,56.85,56.93,16342333.0
113.05,114.12,112.51,113.57,29835187.0,145.98,145.98,144.76,144.92,1712516.0,57.25,57.35,56.75,56.82,14273432.0
113.85,113.989,112.441,113.53,29556298.0,145.65,146.49,144.98,146.45,2804473.0,57.51,57.85,57.08,57.75,28279594.0
114.35,114.94,114.0,114.61,26551417.0,146.75,147.09,146.13,146.46,1849442.0,57.95,58.0,57.63,57.79,17145656.0
114.42,114.79,111.55,112.7049,47037844.0,146.3,146.49,145.01,145.03,1971363.0,57.9,57.91,57.38,57.44,16020750.0
111.64,113.39,111.55,112.87,24375141.0,144.52,144.96,144.0,144.23,1880644.0,57.08,57.14,56.83,56.92,16652292.0
113.0,113.18,112.34,113.11,19833234.0,144.28,145.38,144.01,145.29,2146889.0,56.93,58.06,56.681,57.97,23043718.0
113.69,114.64,113.43,113.95,25725498.0,145.28,145.42,144.03,145.25,2397961.0,57.87,58.06,57.67,58.01,16659262.0
113.16,113.8,111.8,112.18,32052749.0,145.18,145.52,143.36,143.5274,2559520.0,57.83,58.1679,57.21,57.4,21798136.0
112.48,113.37,111.8,113.03,28003656.0,144.27,145.38,144.27,144.41,2426212.0,57.57,57.77,57.34,57.59,19645825.0
112.71,113.05,112.28,112.51,17910308.0,144.27,144.31,143.21,143.68,2412644.0,57.405,57.55,57.06,57.41,16347733.0
113.06,114.31,112.63,113.02,26518801.0,143.74,144.2,142.8,143.15,2357736.0,57.32,57.595,56.97,57.24,17061458.0
113.4,113.66,112.69,113.04,17966455.0,143.53,144.295,143.21,144.1,2121435.0,57.32,57.9601,57.26,57.64,13740675.0
113.7,114.34,113.13,113.91,24740644.0,144.03,144.1,143.3,143.87,1753546.0,57.74,57.86,57.28,57.74,13372542.0
114.31,114.56,113.51,114.03,21078163.0,143.93,144.94,143.78,144.54,2230493.0,57.88,57.98,57.42,57.79,17192327.0
115.06,116.75,114.72,116.05,31117606.0,145.05,145.68,144.98,145.21,1388521.0,57.92,58.39,57.87,58.05,16006328.0
117.65,118.69,116.2,116.34,54033397.0,145.13,145.14,143.53,143.99,1763078.0,57.89,58.02,56.89,57.18,21407214.0
117.35,117.98,116.75,117.35,33616928.0,143.86,145.29,143.86,144.97,1809780.0,57.12,57.27,56.4,57.11,19737326.0
116.79,117.44,115.72,116.99,31618670.0,143.79,144.05,141.92,143.2,3320523.0,56.67,57.3,56.315,56.92,20825613.0
117.88,118.17,117.13,117.63,29203895.0,143.91,144.89,143.58,144.2,1984274.0,57.12,57.74,57.12,57.43,23125614.0
117.33,117.84,116.78,117.55,19816218.0,144.5,144.76,143.37,143.77,1774622.0,57.36,57.46,56.87,57.21,18286375.0
118.18,118.21,117.45,117.45,19457641.0,144.65,145.09,144.13,144.27,1657733.0,57.53,57.945,57.41,57.65,15950520.0
117.25,117.76,113.8,117.12,17159909.0,144.79,145.71,144.48,144.89,1567547.0,57.47,57.84,57.395,57.56,17329160.0
116.86,117.38,116.33,117.01,21097370.0,144.71,145.43,144.19,144.5,1898949.0,57.5,57.52,56.66,57.24,37793462.0
116.81,116.91,116.28,116.53,19018844.0,143.54,143.95,142.8,143.62,2332626.0,60.3,60.45,59.485,59.68,68080734.0
117.1,117.74,117.0,117.61,19189694.0,144.09,144.89,143.68,143.69,1538590.0,59.94,61.0,59.93,60.99,44808082.0
117.96,118.36,117.31,118.26,34284501.0,143.7,144.16,143.21,143.45,1739493.0,60.86,61.3699,60.8,61.01,29949216.0
114.31,115.7,113.31,115.59,56037814.0,143.38,144.46,143.12,143.95,2140214.0,60.8,61.2,60.47,60.63,23483399.0
115.39,115.86,114.1,114.5,22647683.0,144.19,144.78,143.87,144.46,2208478.0,60.62,60.83,60.09,60.11,24532900.0
113.86,115.21,113.45,113.72,31334377.0,144.84,145.29,142.9,144.05,2154627.0,60.01,60.52,59.58,59.87,25868056.0
113.65,114.23,113.2,113.56,20121122.0,144.3,144.69,144.0,144.29,1959049.0,60.16,60.42,59.93,59.93,19487109.0
