,Real,Predicted
0,56.68999999999999,109.92764
1,52.18999999999999,107.360954
2,53.5,103.75677
3,51.44,103.62306
4,48.94,103.06611
5,53.5,101.751335
6,25.75,104.10574
7,24.25,89.42332
8,22.31,83.7855
9,23.620000000000005,82.865135
10,22.06,84.87157
11,22.19,85.4539
12,21.75,85.79597
13,20.87,85.61728
14,19.62,85.0068
15,20.0,84.11224
16,22.06,84.112335
17,21.5,85.39819
18,20.12,85.561295
19,20.12,84.70501
20,18.94,84.34727
21,19.5,83.657
22,20.37,83.828964
23,18.87,84.489494
24,18.5,83.902954
25,18.5,83.440025
26,18.56,83.33791
27,19.31,83.41995
28,19.56,83.90898
29,20.5,84.21245
30,22.31,84.76833
31,22.25,85.879196
32,21.44,86.09719
33,21.31,85.52472
34,20.06,85.156784
35,20.19,84.3747
36,19.06,84.260056
37,19.37,83.72894
38,20.25,83.80535
39,19.87,84.41732
40,19.0,84.43698
41,18.5,83.89682
42,18.94,83.41765
43,18.81,83.56621
44,18.5,83.62964
45,19.31,83.4978
46,18.69,83.902855
47,18.03,83.70566
48,17.56,83.23329
49,16.5,82.82971
50,17.06,82.18192
51,16.69,82.36787
52,17.0,82.342545
53,14.31,82.53486
54,14.31,81.127426
55,15.06,80.66792
56,15.190000000000001,81.10915
57,15.38,81.45763
58,15.0,81.67538
59,14.44,81.48957
60,14.059999999999999,81.07428
61,14.25,80.73692
62,14.000000000000002,80.790215
63,14.38,80.73732
64,14.059999999999999,80.95302
65,15.0,80.86132
66,14.689999999999998,81.329414
67,14.81,81.308395
68,14.81,81.3088
69,14.88,81.28447
70,14.88,81.30492
71,16.37,81.309845
72,17.06,82.1285
73,16.37,82.76525
74,16.56,82.478966
75,17.19,82.36225
76,16.56,82.652
77,18.0,82.4032
78,17.19,83.08429
79,17.12,82.86952
80,16.81,82.68271
81,18.69,82.4443
82,19.5,83.427536
83,19.25,84.22721
84,20.5,84.232544
85,20.5,84.770195
86,19.94,84.872055
87,19.56,84.49424
88,21.69,84.106346
89,21.75,85.18555
90,21.62,85.62501
91,21.12,85.578255
92,20.62,85.17692
93,20.19,84.73176
94,21.12,84.3884
95,20.75,84.868576
96,20.75,84.89479
97,19.12,84.87445
98,19.69,83.94959
99,19.12,83.96808
100,19.5,83.77858
101,20.06,83.97971
102,19.0,84.399315
103,18.31,83.94062
104,18.87,83.356125
105,18.81,83.51479
106,18.81,83.6241
107,19.5,83.67874
108,19.37,84.07078
109,18.25,84.113205
110,18.75,83.451805
111,19.25,83.48829
112,20.37,83.84916
113,21.5,84.61061
114,21.25,85.441864
115,20.81,85.45164
116,20.25,85.049576
117,18.62,84.53979
118,19.56,83.498924
119,20.44,83.766594
120,19.69,84.508255
121,19.62,84.37031
122,20.56,84.207504
123,19.69,84.657875
124,20.12,84.334145
125,21.62,84.416275
126,23.0,85.290115
127,21.78,86.33011
128,22.87,85.86876
129,22.17,86.13568
130,22.529999999999998,85.81054
131,22.07,85.862656
132,21.589999999999996,85.64774
133,20.24,85.31763
134,19.5,84.495766
135,20.87,83.88385
136,20.59,84.581116
137,20.54,84.78774
138,22.04,84.79549
139,21.8,85.58588
140,22.420000000000005,85.68548
141,21.44,85.947334
142,20.4,85.4238
143,22.789999999999996,84.61941
144,25.72,85.72822
145,25.04,87.83001
146,24.25,88.03504
147,24.03,87.338104
148,24.72,86.82492
149,24.690000000000005,87.065254
150,26.2,87.20352
151,25.49,88.08769
152,25.930000000000003,87.95865
153,26.59,88.035805
154,24.96,88.38957
155,25.75,87.57081
156,24.96,87.689285
157,24.57,87.37262
158,23.98,87.07676
159,23.0,86.70645
160,22.85,86.107506
161,23.29,85.91079
162,23.18,86.20542
163,24.1,86.31432
164,23.550000000000004,86.852684
165,23.530000000000005,86.70161
166,23.56,86.56263
167,23.5,86.51965
168,23.23,86.48475
169,23.2,86.33467
170,22.76,86.27944
171,21.47,86.04201
172,19.78,85.26969
173,19.95,84.12863
174,20.89,83.98138
175,20.66,84.65726
176,20.94,84.854
177,20.73,85.029434
178,21.66,84.92354
